accident_id,date,time,city,latitude,longitude,weather,severity,vehicle_type,cause,casualties,reported_by
A300092,2024-05-17,01:18,Jaipur,24.437258,68.965568,Rain,Moderate,Bus,Drunk Driving,0,Police
A300093,2022-04-03,09:38,Surat,28.511625,75.802149,Clear,Moderate,Bus,Bad Road,0,Citizen
A300094,2022-11-21,03:00,Jaipur,23.749164,72.513565,Rain,Minor,Car,Bad Road,0,Police
A300095,2021-04-29,00:13,Hyderabad,13.055283,77.092492,Fog,Minor,Motorcycle,Weather,2,Citizen
A300096,2022-06-08,14:24,Delhi,13.078887,70.500359,Fog,Fatal,Bicycle,Unknown,0,Police
A300097,2022-10-02,09:01,Kolkata,25.999449,72.8121,Rain,Moderate,Truck,Drunk Driving,1,Police
A300098,2025-05-30,13:57,Delhi,25.61861,70.386797,Clear,Moderate,Truck,Distracted,0,Police
A300099,2022-12-16,05:50,Hyderabad,16.250954,75.311533,Clear,Minor,Motorcycle,Unknown,0,Hospital
A300100,2024-05-06,06:37,Bengaluru,28.250409,70.93751,Rain,Minor,Car,Bad Road,1,Police
A300101,2023-04-29,00:38,Delhi,18.916315,76.226474,Clear,Severe,Car,Drunk Driving,0,Insurance
A300102,2025-03-02,20:18,Bengaluru,25.234925,74.590809,Clear,Severe,Motorcycle,Drunk Driving,1,Insurance
A300103,2025-06-20,22:21,Pune,10.608951,75.874192,Clear,Moderate,Bus,Unknown,0,Police
A300104,2023-11-27,20:56,Kolkata,28.675288,74.187334,Rain,Moderate,Bus,Speeding,0,Citizen
A300105,2024-06-07,15:50,Lucknow,13.510741,76.589225,Storm,Minor,Motorcycle,Distracted,1,Police
A300106,2021-02-02,15:26,Lucknow,18.322397,71.913631,Fog,Minor,Car,Bad Road,0,Insurance
A300107,2023-08-14,22:13,Hyderabad,18.450671,68.301828,Rain,Minor,Motorcycle,Speeding,1,Hospital
A300108,2023-03-04,12:48,Kolkata,27.652191,70.509272,Rain,Minor,Pedestrian,Bad Road,0,Citizen
A300109,2024-09-09,20:22,Mumbai,23.461279,72.345209,Clear,Minor,Motorcycle,Drunk Driving,0,Citizen
A300110,2023-12-22,03:28,Pune,17.882361,70.561183,Clear,Minor,Bus,Drunk Driving,1,Citizen
A300111,2022-12-11,12:26,Kolkata,14.989671,73.232687,Clear,Minor,Motorcycle,Speeding,2,Police
A300112,2022-12-04,11:41,Hyderabad,13.86316,73.617722,Clear,Minor,Bus,Weather,0,Citizen
A300113,2025-03-23,18:16,Hyderabad,17.653266,71.016131,Rain,Minor,Car,Drunk Driving,0,Hospital
A300114,2021-06-26,11:09,Lucknow,28.371282,69.951146,Clear,Minor,Car,Distracted,0,Police
A300115,2021-10-12,18:10,Delhi,15.918597,76.292984,Clear,Severe,Pedestrian,Bad Road,0,Citizen
A300116,2025-06-03,09:48,Delhi,25.682355,69.239938,Clear,Moderate,Truck,Weather,0,Police
A300117,2025-06-02,14:30,Bengaluru,23.173276,76.786633,Clear,Minor,Bicycle,Unknown,1,Hospital
A300118,2022-05-29,15:40,Lucknow,13.103505,76.753469,Clear,Moderate,Car,Speeding,0,Police
A300119,2024-11-19,03:15,Surat,20.304266,75.19399,Clear,Minor,Car,Distracted,1,Police
A300120,2025-08-16,16:20,Surat,8.95367,72.894726,Clear,Minor,Bus,Mechanical Failure,0,Police
A300121,2021-07-16,11:29,Lucknow,18.919135,69.67484,Fog,Minor,Car,Distracted,1,Insurance
A300122,2024-12-06,20:19,Chennai,13.83779,72.61134,Hazy,Minor,Truck,Weather,1,Hospital
A300123,2022-12-10,20:08,Bengaluru,15.336012,70.483463,Clear,Minor,Bus,Unknown,1,Citizen
A300124,2021-08-28,10:49,Mumbai,24.884984,74.903005,Clear,Moderate,Motorcycle,Mechanical Failure,0,Police
A300125,2022-07-18,17:08,Mumbai,13.482405,68.520252,Clear,Moderate,Bicycle,Bad Road,1,Citizen
A300126,2022-01-05,13:54,Mumbai,28.07019,75.156002,Clear,Minor,Car,Weather,1,Citizen
A300127,2025-01-30,04:18,Delhi,22.774876,69.759378,Snow (rare),Minor,Car,Weather,0,Police
A300128,2025-09-27,20:35,Hyderabad,13.58696,70.266841,Clear,Fatal,Truck,Bad Road,0,Police
A300129,2023-09-27,12:43,Chennai,19.32408,68.062059,Clear,Minor,Car,Distracted,0,Hospital
A300130,2022-07-21,10:40,Pune,23.499765,69.444602,Storm,Moderate,Truck,Distracted,0,Citizen
A300131,2025-03-03,00:47,Lucknow,21.797564,76.488823,Rain,Fatal,Motorcycle,Speeding,0,Hospital
A300132,2024-03-12,18:47,Pune,23.678274,75.077304,Clear,Minor,Motorcycle,Drunk Driving,0,Police
A300133,2022-03-24,15:11,Lucknow,11.236591,72.102112,Fog,Fatal,Truck,Weather,0,Police
A300134,2021-01-08,20:25,Jaipur,17.34782,69.445573,Rain,Moderate,Bicycle,Speeding,1,Citizen
A300135,2021-05-02,11:04,Surat,17.62141,69.973656,Clear,Minor,Car,Drunk Driving,0,Police
A300136,2023-08-28,03:22,Mumbai,25.259261,73.234117,Clear,Minor,Car,Speeding,1,Police
A300137,2025-01-25,12:36,Bengaluru,14.589357,68.872274,Rain,Moderate,Pedestrian,Drunk Driving,0,Citizen
A300138,2023-02-01,13:10,Hyderabad,8.943803,75.876675,Rain,Minor,Car,Unknown,0,Citizen
A300139,2023-03-08,08:43,Lucknow,21.148582,70.392355,Rain,Moderate,Motorcycle,Mechanical Failure,0,Police
A300140,2021-10-01,03:03,Kolkata,22.453038,75.428797,Clear,Minor,Motorcycle,Speeding,2,Police
A300141,2021-04-26,13:38,Lucknow,22.633938,73.918041,Clear,Severe,Bicycle,Drunk Driving,0,Hospital
A300142,2023-03-23,00:16,Delhi,8.092642,70.205048,Clear,Minor,Car,Drunk Driving,0,Citizen
A300143,2022-03-10,21:58,Jaipur,18.751032,70.93654,Rain,Moderate,Car,Drunk Driving,1,Insurance
A300144,2021-05-05,21:04,Hyderabad,8.962982,69.622605,Clear,Moderate,Bus,Distracted,1,Hospital
A300145,2022-09-11,03:45,Mumbai,10.724782,68.429771,Clear,Minor,Car,Unknown,0,Police
A300146,2025-09-08,22:18,Surat,22.830197,76.842298,Clear,Minor,Car,Drunk Driving,0,Police
A300147,2024-08-19,16:21,Jaipur,18.861474,76.477675,Rain,Minor,Car,Unknown,0,Police
A300148,2021-10-29,13:12,Bengaluru,10.17002,73.385663,Clear,Minor,Car,Weather,0,Citizen
A300149,2024-05-24,15:25,Surat,20.713704,70.893359,Rain,Moderate,Motorcycle,Distracted,0,Police
A300150,2022-03-29,14:39,Pune,23.945471,76.483496,Fog,Moderate,Bus,Weather,0,Police
A300151,2021-01-30,05:55,Surat,8.451909,69.719495,Fog,Moderate,Pedestrian,Bad Road,2,Citizen
A300152,2021-09-28,21:10,Delhi,8.87465,71.684757,Clear,Moderate,Motorcycle,Speeding,1,Hospital
A300153,2024-11-11,22:08,Delhi,25.625099,74.909553,Hazy,Minor,Car,Bad Road,0,Police
A300154,2024-09-21,04:49,Lucknow,27.14324,74.098701,Fog,Minor,Car,Distracted,1,Police
A300155,2022-07-27,02:23,Surat,15.789832,68.806479,Storm,Minor,Bus,Weather,0,Citizen
A300156,2025-08-16,06:42,Delhi,19.722687,74.027688,Rain,Fatal,Truck,Distracted,1,Hospital
A300157,2021-04-01,08:39,Chennai,12.473354,73.225954,Hazy,Minor,Car,Speeding,0,Citizen
A300158,2023-12-20,08:58,Surat,19.475997,72.305418,Clear,Minor,Motorcycle,Drunk Driving,0,Citizen
A300159,2025-02-03,19:16,Kolkata,9.554499,77.099808,Fog,Moderate,Truck,Weather,0,Police
A300160,2023-02-20,09:06,Jaipur,23.869361,74.616632,Clear,Fatal,Truck,Drunk Driving,0,Police
A300161,2021-02-19,20:16,Bengaluru,12.570123,70.471974,Clear,Minor,Car,Bad Road,0,Police
A300162,2022-06-20,14:53,Kolkata,27.002583,70.204562,Clear,Severe,Car,Weather,1,Police
A300163,2024-05-30,03:34,Mumbai,13.260107,76.250178,Clear,Minor,Motorcycle,Weather,1,Police
A300164,2023-03-23,19:56,Bengaluru,17.046756,69.499259,Clear,Minor,Car,Bad Road,1,Police
A300165,2023-10-17,06:19,Mumbai,28.320207,68.178016,Clear,Minor,Motorcycle,Weather,0,Police
A300166,2022-03-04,07:34,Bengaluru,11.642738,74.771325,Hazy,Moderate,Car,Weather,2,Insurance
A300167,2024-01-19,08:47,Delhi,20.280678,77.461691,Rain,Minor,Car,Unknown,0,Police
A300168,2023-01-14,03:11,Delhi,11.371205,72.339973,Clear,Minor,Bicycle,Speeding,0,Citizen
A300169,2021-10-26,06:56,Hyderabad,23.99467,71.220315,Clear,Fatal,Bus,Unknown,0,Police
A300170,2021-11-19,14:20,Mumbai,25.004408,74.665177,Rain,Moderate,Car,Weather,0,Citizen
A300171,2021-08-22,20:48,Mumbai,16.809166,77.088526,Clear,Minor,Car,Mechanical Failure,1,Police
A300172,2024-11-23,21:45,Hyderabad,25.824654,73.78924,Clear,Moderate,Motorcycle,Bad Road,0,Police
A300173,2025-01-23,07:18,Chennai,11.803613,68.150469,Rain,Minor,Car,Unknown,0,Citizen
A300174,2024-12-14,21:32,Hyderabad,8.712139,74.287298,Clear,Moderate,Motorcycle,Bad Road,0,Citizen
A300175,2025-03-12,02:42,Surat,14.928059,69.15708,Rain,Moderate,Car,Drunk Driving,0,Police
A300176,2022-07-25,20:34,Surat,13.058013,75.524353,Clear,Moderate,Motorcycle,Distracted,0,Police
A300177,2025-08-09,21:53,Pune,27.132203,69.464277,Clear,Severe,Car,Drunk Driving,0,Citizen
A300178,2025-03-08,08:10,Surat,14.087467,77.108461,Clear,Minor,Bus,Weather,0,Citizen
A300179,2021-08-02,04:19,Delhi,16.930839,73.518901,Rain,Minor,Motorcycle,Speeding,0,Police
A300180,2023-05-21,01:24,Pune,25.131882,68.428235,Clear,Minor,Truck,Bad Road,0,Citizen
A300181,2023-04-04,08:00,Chennai,8.036854,72.593775,Hazy,Minor,Car,Drunk Driving,0,Police
A300182,2025-02-21,01:01,Chennai,20.283799,74.214581,Rain,Minor,Car,Speeding,0,Hospital
A300183,2021-11-16,20:16,Delhi,28.455126,70.548733,Clear,Moderate,Truck,Bad Road,1,Police
A300184,2023-03-03,07:37,Kolkata,10.891616,69.533154,Snow (rare),Minor,Car,Bad Road,0,Hospital
A300185,2021-10-18,04:43,Pune,26.96157,68.513937,Hazy,Minor,Car,Mechanical Failure,0,Hospital
A300186,2021-05-01,13:13,Mumbai,20.378853,68.58639,Rain,Severe,Car,Mechanical Failure,0,Police
A300187,2024-08-29,07:31,Lucknow,24.395053,75.804222,Clear,Minor,Motorcycle,Bad Road,1,Police
A300188,2021-07-05,19:04,Mumbai,26.32275,69.743209,Clear,Minor,Pedestrian,Weather,0,Citizen
A300189,2023-06-09,22:14,Mumbai,22.125417,68.568368,Hazy,Minor,Bicycle,Speeding,0,Police
A300190,2024-07-03,10:17,Pune,13.522235,75.086618,Storm,Minor,Bus,Unknown,0,Police
A300191,2025-02-20,08:53,Jaipur,8.980254,76.800929,Clear,Minor,Car,Unknown,1,Police
A300192,2024-04-03,20:56,Jaipur,15.329068,71.139461,Clear,Moderate,Motorcycle,Mechanical Failure,0,Citizen
A300193,2022-06-13,07:56,Mumbai,26.441325,73.63949,Rain,Moderate,Pedestrian,Weather,1,Insurance
A300194,2021-10-20,22:39,Jaipur,19.291857,70.173838,Clear,Minor,Motorcycle,Weather,0,Police
A300195,2022-12-06,14:21,Pune,28.509039,72.798431,Fog,Minor,Pedestrian,Speeding,0,Police
A300196,2023-11-20,20:57,Chennai,21.74306,73.954514,Hazy,Moderate,Car,Mechanical Failure,0,Police
A300197,2023-01-30,08:35,Pune,11.897545,70.857656,Clear,Minor,Car,Mechanical Failure,0,Citizen
A300198,2023-12-16,08:46,Delhi,25.054783,71.880064,Fog,Minor,Bus,Weather,1,Police
A300199,2023-07-19,01:01,Hyderabad,15.06488,71.285896,Clear,Minor,Car,Unknown,0,Hospital
A300200,2025-06-27,17:12,Delhi,26.060119,71.994741,Clear,Moderate,Truck,Speeding,0,Police
A300201,2023-05-13,09:40,Lucknow,8.167577,68.361182,Clear,Severe,Car,Speeding,1,Hospital
A300202,2023-01-22,09:31,Lucknow,19.606726,75.384725,Clear,Minor,Bicycle,Drunk Driving,0,Citizen
A300203,2025-08-11,09:33,Pune,22.106973,75.408112,Fog,Minor,Car,Speeding,0,Police
A300204,2024-03-25,05:39,Jaipur,28.669419,73.458033,Rain,Moderate,Motorcycle,Speeding,0,Citizen
A300205,2024-09-13,18:28,Pune,19.47737,69.971032,Rain,Minor,Car,Drunk Driving,0,Hospital
A300206,2022-10-04,16:04,Surat,20.618516,73.465146,Clear,Severe,Pedestrian,Mechanical Failure,1,Police
A300207,2021-10-19,12:46,Jaipur,26.933771,69.670935,Clear,Minor,Car,Unknown,0,Police
A300208,2022-10-20,07:15,Bengaluru,9.692929,74.753904,Storm,Minor,Truck,Bad Road,0,Citizen
A300209,2022-08-07,15:15,Bengaluru,26.089042,71.865306,Storm,Minor,Pedestrian,Mechanical Failure,1,Police
A300210,2021-08-08,22:50,Pune,13.892656,74.102692,Hazy,Minor,Car,Bad Road,0,Citizen
A300211,2023-03-16,08:01,Hyderabad,18.793024,72.095658,Storm,Moderate,Car,Drunk Driving,2,Police
A300212,2025-04-26,05:48,Chennai,15.383551,68.308142,Rain,Minor,Motorcycle,Speeding,0,Citizen
A300213,2023-01-08,16:23,Surat,16.331931,72.030092,Clear,Minor,Car,Unknown,1,Police
A300214,2023-01-11,13:23,Pune,26.776318,74.253645,Clear,Minor,Truck,Speeding,2,Police
A300215,2021-05-23,13:53,Jaipur,8.361132,69.705672,Clear,Moderate,Truck,Bad Road,0,Police
A300216,2023-03-27,20:17,Surat,23.397077,73.21923,Clear,Moderate,Motorcycle,Speeding,0,Insurance
A300217,2025-06-20,09:30,Surat,23.802805,73.845127,Clear,Moderate,Bus,Weather,0,Police
A300218,2024-07-17,04:39,Kolkata,23.134526,70.903172,Clear,Moderate,Bicycle,Weather,0,Police
A300219,2021-08-26,21:25,Lucknow,27.871108,76.498351,Clear,Minor,Bus,Mechanical Failure,1,Police
A300220,2025-09-26,20:44,Chennai,24.737544,69.787844,Rain,Minor,Bus,Drunk Driving,0,Police
A300221,2025-04-15,06:21,Chennai,13.684289,73.735756,Hazy,Severe,Truck,Unknown,0,Police
A300222,2021-03-10,18:20,Jaipur,26.635703,73.543728,Rain,Moderate,Car,Distracted,0,Hospital
A300223,2025-08-30,15:35,Bengaluru,17.68497,69.975751,Rain,Minor,Motorcycle,Bad Road,0,Insurance
A300224,2022-12-30,20:21,Kolkata,20.51846,75.338625,Rain,Minor,Bus,Speeding,1,Citizen
A300225,2021-10-30,07:00,Lucknow,19.871792,73.26221,Clear,Severe,Car,Speeding,0,Police
A300226,2022-02-16,20:57,Hyderabad,23.525136,70.366901,Storm,Minor,Car,Speeding,0,Insurance
A300227,2021-07-21,07:31,Hyderabad,22.928991,70.925694,Clear,Minor,Bus,Drunk Driving,1,Police
A300228,2024-08-15,14:22,Bengaluru,16.503232,72.75361,Clear,Minor,Car,Distracted,0,Police
A300229,2022-08-20,02:55,Kolkata,16.486686,69.173523,Clear,Minor,Motorcycle,Speeding,0,Police
A300230,2021-06-19,04:37,Lucknow,9.932739,72.859673,Fog,Minor,Bus,Distracted,0,Police
A300231,2024-09-20,04:45,Mumbai,27.382829,74.300223,Rain,Moderate,Car,Drunk Driving,0,Citizen
A300232,2022-09-08,22:26,Delhi,27.067943,68.975955,Rain,Minor,Car,Weather,1,Police
A300233,2023-09-17,10:14,Surat,22.453909,73.758838,Clear,Minor,Bicycle,Speeding,0,Police
A300234,2023-02-28,13:14,Delhi,9.101582,75.394326,Clear,Severe,Bus,Speeding,0,Police
A300235,2025-08-19,03:43,Surat,25.556873,72.209762,Rain,Minor,Car,Weather,0,Citizen
A300236,2023-02-20,19:32,Bengaluru,14.362066,72.302876,Clear,Moderate,Car,Unknown,0,Citizen
A300237,2021-06-18,02:34,Mumbai,27.955156,74.21249,Fog,Moderate,Car,Drunk Driving,0,Police
A300238,2023-09-08,13:31,Lucknow,27.52411,71.049314,Rain,Minor,Motorcycle,Distracted,0,Police
A300239,2025-06-28,11:44,Lucknow,26.613085,69.99162,Clear,Moderate,Truck,Unknown,0,Citizen
A300240,2025-09-21,20:50,Kolkata,9.724631,71.790599,Rain,Minor,Motorcycle,Drunk Driving,0,Police
A300241,2021-08-19,02:47,Kolkata,8.523629,68.216463,Storm,Minor,Bicycle,Drunk Driving,2,Police
A300242,2024-10-05,00:30,Lucknow,22.860186,73.281169,Clear,Moderate,Motorcycle,Drunk Driving,0,Police
A300243,2022-09-23,03:35,Bengaluru,22.974577,74.929159,Clear,Severe,Motorcycle,Bad Road,1,Police
A300244,2025-03-27,00:58,Mumbai,16.073658,72.307135,Fog,Fatal,Motorcycle,Drunk Driving,0,Police
A300245,2021-09-12,09:53,Lucknow,27.317868,70.031632,Fog,Fatal,Truck,Unknown,0,Hospital
A300246,2021-03-30,11:08,Jaipur,9.608148,69.639449,Fog,Minor,Car,Distracted,0,Police
A300247,2022-12-08,16:00,Mumbai,18.600689,70.033227,Snow (rare),Moderate,Motorcycle,Drunk Driving,0,Police
A300248,2023-01-12,16:00,Lucknow,16.544568,75.48075,Clear,Minor,Pedestrian,Distracted,0,Citizen
A300249,2023-04-18,01:14,Jaipur,18.498874,70.007681,Clear,Moderate,Motorcycle,Weather,0,Police
